AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2015,6,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,Yungay,0.0,0.0,0.0,0.0
2017,9,AMAZONAS,CHACHAPOYAS,CHILIQUIN,Yungay,1.0,3.0,55.8,0.9
2020,1,AMAZONAS,CHACHAPOYAS,LA JALCA,Huayro,3.0,0.0,0.0,0.0
2018,4,HUANCAVELICA,ACOBAMBA,ANTA,Amarilis-INIA,0.0,48.0,624.0,0.49
2015,1,AMAZONAS,CHACHAPOYAS,LEVANTO,Yungay,0.0,14.0,224.0,1.7
2022,10,AMAZONAS,LUYA,SAN JERONIMO,Yungay,1.0,0.0,0.0,0.0
2016,10,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Huayro,3.0,7.0,110.0,1.85
2022,12,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Huayro,0.0,0.0,0.0,0.0
2019,3,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Huayro,8.0,0.0,0.0,0.0
2019,2,HUANCAVELICA,TAYACAJA,ACOSTAMBO,Yungay,0.0,20.0,320.0,0.8
2021,2,AMAZONAS,LUYA,LAMUD,Huayro,9.0,0.0,0.0,0.0
2017,3,AMAZONAS,CHACHAPOYAS,OLLEROS,Yungay,0.0,0.0,0.0,0.0
2022,5,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,UNICA,22.0,0.0,0.0,0.0
2016,6,AMAZONAS,LUYA,LUYA,Huayro,0.0,18.0,333.0,0.85
2022,5,APURIMAC,GRAU,VILCABAMBA,Canchan-INIA,0.0,8.0,96.0,2.0
2022,6,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Huayro,0.0,9.0,155.7,2.7
2016,2,AMAZONAS,CHACHAPOYAS,QUINJALCA,Yungay,0.0,0.0,0.0,0.0
2020,6,AMAZONAS,CHACHAPOYAS,CHETO,Yungay,4.0,2.0,39.0,0.91
2018,2,AMAZONAS,CHACHAPOYAS,CHETO,Huayro,3.0,8.0,146.4,0.6
2015,4,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,Huayro,3.0,4.0,72.8,0.85
2023,5,AMAZONAS,LUYA,SANTA CATALINA,Amarilis-INIA,0.0,2.0,40.0,0.9
2017,3,HUANCAVELICA,TAYACAJA,ACOSTAMBO,Yungay,0.0,4.0,50.0,0.5
2020,10,AMAZONAS,LUYA,SANTO TOMAS,Yungay,1.0,1.0,20.0,1.0
2015,8,AMAZONAS,LUYA,LAMUD,Canchan-INIA,0.0,1.0,18.9,0.9
2022,9,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Amarilis-INIA,4.0,8.0,137.6,2.3
2017,6,AMAZONAS,CHACHAPOYAS,QUINJALCA,Amarilis-INIA,0.0,0.0,0.0,0.0
2022,9,AMAZONAS,CHACHAPOYAS,SONCHE,Yungay,1.0,2.0,34.0,2.1
2019,6,HUANCAVELICA,TAYACAJA,AHUAYCHA,Yungay,0.0,13.0,142.0,0.85
2018,12,APURIMAC,GRAU,CURASCO,Canchan-INIA,0.0,0.0,0.0,0.0
2022,1,AMAZONAS,LUYA,SAN JERONIMO,Yungay,1.0,0.0,0.0,0.0
2020,6,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Huayro,1.0,1.0,16.8,1.1
2022,2,AMAZONAS,CHACHAPOYAS,LEVANTO,Huayro,11.0,10.0,174.0,1.4
2019,9,AMAZONAS,CHACHAPOYAS,LEVANTO,Amarilis-INIA,2.0,0.0,0.0,0.0
2015,3,AMAZONAS,LUYA,CONILA,Canchan-INIA,6.0,3.0,54.0,0.9
2023,6,APURIMAC,GRAU,MAMARA,Canchan-INIA,0.0,5.0,27.0,2.1
2015,5,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,Canchan-INIA,0.0,0.0,0.0,0.0
2015,12,AMAZONAS,LUYA,COLCAMAR,Huayro,3.0,0.0,0.0,0.0
2021,2,APURIMAC,GRAU,VIRUNDO,Canchan-INIA,0.0,0.0,0.0,0.0
2017,2,AMAZONAS,CHACHAPOYAS,QUINJALCA,Yungay,0.0,0.0,0.0,0.0
2015,2,HUANCAVELICA,TAYACAJA,SALCABAMBA,Yungay,0.0,24.0,256.0,0.45
