Departamento,Provincia,Distrito,Promedio_Ponderado
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,0.0
AMAZONAS,BAGUA,COPALLIN,2.3354430379746836
AREQUIPA,CARAVELI,LOMAS,0.0
AREQUIPA,CARAVELI,YAUCA,1.9962157048249762
AREQUIPA,CASTILLA,APLAO,43.98883266445647
AREQUIPA,CASTILLA,HUANCARQUI,37.697599136768275
CAJAMARCA,SAN MIGUEL,SAN GREGORIO,22.93356299212598
LAMBAYEQUE,CHICLAYO,ETEN,0.0
LAMBAYEQUE,CHICLAYO,SANTA ROSA,0.0
LIMA,OYON,CAUJUL,88.27228682170542
LIMA,BARRANCA,PARAMONGA,2.2644927536231885
LIMA,BARRANCA,SUPE,46.213618157543394
LIMA,BARRANCA,SUPE PUERTO,92.3076923076923
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,30.6993006993007
ANCASH,BOLOGNESI,COLQUIOC,1.9163359788359786
ANCASH,BOLOGNESI,MANGAS,80.55825242718447
ANCASH,HUARAZ,INDEPENDENCIA,90.82589285714286
ANCASH,ANTONIO RAYMONDI,MIRGAS,92.66517857142857
ANCASH,CORONGO,CORONGO,86.08951914098974
AREQUIPA,CAYLLOMA,COPORAQUE,72.2569558101473
AREQUIPA,CAYLLOMA,HUAMBO,70.64226190476191
AREQUIPA,CAYLLOMA,LARI,11.1953412944125
AREQUIPA,LA UNION,COTAHUASI,81.02276295133439
AREQUIPA,LA UNION,TOMEPAMPA,88.77791344458012
AREQUIPA,AREQUIPA,QUEQUEÑA,44.107070707070704
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,0.6185658722277392
AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,19.79220779220779
AREQUIPA,AREQUIPA,SOCABAYA,31.233766233766232
AREQUIPA,CAMANA,JOSE MARIA QUIMPER,7.692307692307692
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,84.13658335904557
AREQUIPA,CAMANA,MARISCAL CACERES,56.518629407850966
AREQUIPA,CAMANA,OCOÑA,16.584864651254694
AREQUIPA,CARAVELI,ACARI,54.08550116550117
CUSCO,CUSCO,WANCHAQ,50.0
AREQUIPA,AREQUIPA,PAUCARPATA,81.83333333333333
AREQUIPA,ISLAY,ISLAY,4.0
AYACUCHO,HUANTA,UCHURACCAY,87.67341842397337
CUSCO,LA CONVENCION,INKAWASI,88.36713995943205
CUSCO,LA CONVENCION,VILLA VIRGEN,85.6431803490627
APURIMAC,CHINCHEROS,CHINCHEROS,88.48641018907563
PIURA,HUANCABAMBA,HUANCABAMBA,69.78643183300717
PIURA,MORROPON,LA MATANZA,0.0
PIURA,PIURA,CATACAOS,0.0
PIURA,PIURA,PIURA,0.0
PIURA,AYABACA,PACAIPAMPA,49.99402498642043
PIURA,AYABACA,FRIAS,36.81909547738694
PIURA,SULLANA,IGNACIO ESCUDERO,0.0
PIURA,AYABACA,LAGUNAS,48.85042735042735
PIURA,PIURA,LAS LOMAS,0.0
PIURA,AYABACA,AYABACA,35.87176216640502
PIURA,AYABACA,SUYO,0.0
PIURA,TALARA,PARIÑAS,0.0
PIURA,TALARA,LOBITOS,0.0
PIURA,TALARA,MANCORA,0.0
AYACUCHO,HUANTA,CHACA,87.28740530303028
HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,0.0
CUSCO,LA CONVENCION,ECHARATE,0.11302982337547596
UCAYALI,ATALAYA,SEPAHUA,0.0
HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,0.0
AREQUIPA,CAYLLOMA,ACHOMA,26.418145035792094
AREQUIPA,AREQUIPA,CHIGUATA,78.1794150866316
AREQUIPA,AREQUIPA,LA JOYA,62.845966958211854
PUNO,EL COLLAO,CAPAZO,1.0078315349808562
PUNO,CHUCUITO,PISACOMA,76.35764866291343
PUNO,YUNGUYO,ANAPIA,89.51361386138615
PUNO,CHUCUITO,JULI,92.26443768996961
PUNO,LAMPA,LAMPA,99.25022482014388
PUNO,HUANCANE,TARACO,64.47470238095238
PUNO,AZANGARO,SAMAN,47.19146825396825
PUNO,PUNO,PUNO,92.683956185567
PUNO,PUNO,PAUCARCOLLA,93.4295091324201
PUNO,PUNO,VILQUE,96.7093621399177
PUNO,PUNO,AMANTANI,57.888888888888886
PUNO,SAN ROMAN,CABANILLAS,20.80909943714822
PUNO,MOHO,TILALI,79.77393617021276
PUNO,LAMPA,CABANILLA,98.84316770186336
PUNO,SAN ROMAN,JULIACA,84.00593471810089
PUNO,AZANGARO,ARAPA,92.86332179930795
PUNO,LAMPA,OCUVIRI,2.4226110363391657
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,94.40774487471526
PUNO,MELGAR,AYAVIRI,98.55427823050057
PUNO,AZANGARO,MUÑANI,56.56202579666161
PUNO,MELGAR,ORURILLO,97.3428143712575
PUNO,SANDIA,PATAMBUCO,82.81161578555474
PUNO,MELGAR,NUÑOA,90.2096506354985
PUNO,SANDIA,SANDIA,88.56410256410257
PUNO,SANDIA,QUIACA,94.77717391304348
PUNO,CARABAYA,AJOYANI,99.66994382022472
PUNO,SANDIA,ALTO INAMBARI,5.463877472386335
PUNO,CARABAYA,OLLACHEA,93.67845786963434
ANCASH,PALLASCA,PAMPAS,88.97038567493112
ANCASH,PALLASCA,SANTA ROSA,35.43312324929972
ANCASH,POMABAMBA,PAROBAMBA,82.0081227436823
HUANUCO,HUAMALIES,SINGA,92.72727272727272
HUANUCO,LEONCIO PRADO,RUPA-RUPA,0.0
HUANUCO,DOS DE MAYO,MARIAS,57.54051054384017
HUANUCO,HUAMALIES,JACAS GRANDE,92.70361990950227
HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,0.1733102253032928
HUANUCO,HUAMALIES,ARANCAY,95.56460084033613
HUANUCO,AMBO,AMBO,93.0989190548014
HUANUCO,AMBO,CAYNA,95.59575534759358
HUANUCO,PUERTO INCA,TOURNAVISTA,0.0
JUNIN,CHANCHAMAYO,PERENE,0.7965825874694874
JUNIN,CHANCHAMAYO,PICHANAQUI,0.7421599718111347
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,1.7916666666666667
LIMA,HUAURA,LEONCIO PRADO,73.30349794238683
LIMA,YAUYOS,YAUYOS,57.357336956521735
LIMA,YAUYOS,ALIS,95.78947368421052
ANCASH,CASMA,CASMA,0.5531451201631925
ANCASH,CASMA,BUENA VISTA ALTA,0.7019562715765247
ANCASH,OCROS,SAN PEDRO,11.149215249443039
ANCASH,RECUAY,COTAPARACO,96.25173611111113
ANCASH,YUNGAY,YUNGAY,88.44101307189541
ANCASH,YUNGAY,CASCAPARA,73.68656015037593
ANCASH,HUARAZ,COLCABAMBA,54.52116212338594
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,83.76806358381504
ANCASH,HUAYLAS,YURACMARCA,80.06006514447886
ANCASH,MARISCAL LUZURIAGA,CASCA,97.73790322580645
ANCASH,MARISCAL LUZURIAGA,LLAMA,91.82371794871796
ANCASH,PALLASCA,BOLOGNESI,64.65174129353234
ANCASH,HUARI,HUARI,58.6685606060606
ANCASH,HUARI,CHAVIN DE HUANTAR,97.55387931034483
ANCASH,HUARI,HUACACHI,92.49119718309859
ANCASH,HUARI,HUACCHIS,91.07421875
ANCASH,HUARI,HUACHIS,96.90524193548386
ANCASH,OCROS,CONGAS,88.36420722135009
ANCASH,PALLASCA,HUACASCHUQUE,94.20454545454547
ANCASH,PALLASCA,LACABAMBA,90.82932692307692
ANCASH,POMABAMBA,QUINUABAMBA,81.81301652892562
ANCASH,SANTA,CACERES DEL PERU,51.61092388344226
ANCASH,SANTA,MACATE,39.95400629387558
ANCASH,SIHUAS,SIHUAS,87.70045045045046
ANCASH,SIHUAS,CASHAPAMPA,93.16885964912282
ANCASH,SIHUAS,CHINGALPO,86.8627450980392
ANCASH,SIHUAS,QUICHES,74.50502152080344
LIMA,CAJATAMBO,HUANCAPON,73.05785123966942
LIMA,CAJATAMBO,MANAS,60.319659154404924
LIMA,HUAURA,CHECRAS,83.19616788321169
LIMA,HUAURA,SANTA LEONOR,93.77604166666669
LIMA,CAJATAMBO,CAJATAMBO,93.39186946902655
LIMA,CAJATAMBO,COPA,87.84023668639054
LA LIBERTAD,TRUJILLO,EL PORVENIR,0.0
CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,8.978813559322033
CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,52.84957627118644
CAJAMARCA,CUTERVO,SOCOTA,79.78237666034155
CAJAMARCA,CHOTA,CHIMBAN,56.01745313510019
CAJAMARCA,CHOTA,LAJAS,84.73852040816325
CAJAMARCA,CHOTA,PION,58.90163376446562
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,63.718664477285174
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,1.0194730813287516
CAJAMARCA,JAEN,SAN JOSE DEL ALTO,0.24330900243309
CAJAMARCA,JAEN,CHONTALI,12.843515323726404
TUMBES,TUMBES,CORRALES,0.0
TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,0.0
TUMBES,ZARUMILLA,ZARUMILLA,0.0
CAJAMARCA,CELENDIN,CELENDIN,64.98111171073934
CAJAMARCA,CUTERVO,CUTERVO,72.54665242165242
CAJAMARCA,CUTERVO,QUEROCOTILLO,19.700945749324468
CAJAMARCA,HUALGAYOC,BAMBAMARCA,21.895212285456182
CAJAMARCA,CHOTA,CHOTA,83.70608108108107
CAJAMARCA,CHOTA,CHADIN,62.509433962264154
CAJAMARCA,CHOTA,CONCHAN,80.60685483870967
CAJAMARCA,SANTA CRUZ,NINABAMBA,88.1107442977191
LIMA,LIMA,LURIGANCHO,52.36256544502618
LIMA,LIMA,SAN BORJA,11.11111111111111
LIMA,LIMA,SAN MIGUEL,0.0
LIMA,LIMA,RIMAC,0.0
LIMA,LIMA,INDEPENDENCIA,0.0
LIMA,LIMA,SAN ISIDRO,0.0
LIMA,LIMA,BARRANCO,0.0
AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES DORREGARAY,97.58928571428572
JUNIN,YAULI,MOROCOCHA,7.149663677130046
HUANUCO,HUANUCO,HUANUCO,80.84833699835075
HUANUCO,HUANUCO,CHURUBAMBA,84.0568438914027
HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,98.48254504504504
HUANUCO,HUANUCO,YACUS,98.29918032786884
HUANUCO,DOS DE MAYO,CHUQUIS,97.64880952380953
HUANUCO,PACHITEA,PANAO,92.47993650233707
HUANUCO,YAROWILCA,CHACABAMBA,99.5
HUANUCO,YAROWILCA,PAMPAMARCA,98.0
HUANUCO,LAURICOCHA,QUEROPALCA,98.95833333333334
HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,99.97395833333333
HUANUCO,PACHITEA,CHAGLLA,47.429582077819994
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,92.19596171802056
HUANUCO,DOS DE MAYO,SILLAPATA,97.89046653144015
HUANUCO,PACHITEA,UMARI,90.10690045248869
HUANUCO,LAURICOCHA,BAÑOS,99.88132911392405
HUANUCO,LAURICOCHA,RONDOS,97.5973487986744
HUANUCO,HUAMALIES,MONZON,0.935672886267731
HUANUCO,HUAMALIES,PUNCHAO,95.92424242424241
HUANUCO,HUAMALIES,PUÑOS,96.21141975308642
HUANUCO,HUAMALIES,TANTAMAYO,90.37114845938376
HUANUCO,HUACAYBAMBA,HUACAYBAMBA,89.73323465053417
HUANUCO,PUERTO INCA,HONORIA,0.0
JUNIN,JUNIN,ULCUMAYO,87.87189822395767
HUANUCO,PUERTO INCA,YUYAPICHIS,0.0
LORETO,UCAYALI,CONTAMANA,0.0
LORETO,UCAYALI,PADRE MARQUEZ,0.0
SAN MARTIN,PICOTA,CASPISAPA,0.0
APURIMAC,COTABAMBAS,COTABAMBAS,89.846547314578
APURIMAC,CHINCHEROS,URANMARCA,94.66037849566055
APURIMAC,ANDAHUAYLAS,SANTA MARIA DE CHICMO,94.31985294117646
APURIMAC,ABANCAY,TAMBURCO,91.6042780748663
CUSCO,CHUMBIVILCAS,CAPACMARCA,98.51815050344462
CUSCO,CHUMBIVILCAS,CHAMACA,97.81338787751235
CUSCO,CANAS,LAYO,98.21446078431373
CUSCO,CANCHIS,CHECACUPE,42.66628526410564
CUSCO,ACOMAYO,POMACANCHI,98.25039390756302
AYACUCHO,LUCANAS,LEONCIO PRADO,60.54863872743959
AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,57.913752913752916
AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,38.593023255813954
AYACUCHO,PARINACOCHAS,PUYUSCA,76.31531053980032
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,78.09972472472472
