Especie,Subsp,Especie_Su,Nombre_com,Departamen,Provincia,Distrito,Longitud,Latitud,Altitud
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Caputro,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Wuaytachuco,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Muru Pampiña,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pampiña,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Overita,JUNIN,TARMA,TARMA,-75.69,-11.42,3058.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Tornasol,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pampiña,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Wiklush,JUNIN,TARMA,HUASAHUASI,-75.66,-11.1797222222,3474.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pillush,JUNIN,JUNIN,ULCUMAYO,-75.8775,-10.9666666667,3633.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chinkilka,JUNIN,TARMA,SAN PEDRO DE CAJAS,-75.8622222222,-11.2497222222,4018.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mauna,JUNIN,TARMA,SAN PEDRO DE CAJAS,-75.8622222222,-11.2497222222,4018.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mauna,JUNIN,TARMA,SAN PEDRO DE CAJAS,-75.8622222222,-11.2497222222,4018.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mauna,JUNIN,TARMA,SAN PEDRO DE CAJAS,-75.8622222222,-11.2497222222,4018.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Capacho,JUNIN,CONCEPCION,COMAS,-75.1308333333,-11.7433333333,3565.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Chilcar,JUNIN,CONCEPCION,COMAS,-75.1308333333,-11.7433333333,3565.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Capush,JUNIN,CONCEPCION,COCHAS,-75.0947222222,-11.6780555556,3431.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Shumay chuncho,JUNIN,CONCEPCION,COCHAS,-75.0947222222,-11.6780555556,3431.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Wayro,JUNIN,CONCEPCION,COCHAS,-75.1,-11.67,3349.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Muru Shucre,JUNIN,CONCEPCION,COCHAS,-75.1,-11.65,3384.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Capacha,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Limeña,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha, Obispo,JUNIN,CONCEPCION,COCHAS,-75.1086111111,-11.6227777778,3606.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Puka Shucre,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pillush,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yana Shucre,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,s/n,JUNIN,JUNIN,ULCUMAYO,-75.8466666667,-11.045,3967.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Wayro,HUANUCO,HUAMALIES,LLATA,-76.82,-9.55,3496.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Condor Atacan,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Condor Atacan,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Ccepcho,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Wakapa Kharan,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Jerga Poncho,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Lepcho,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
