ID,CULTVRNAME,LAT,LONG,SPP2
6440,Curimarca,-11.67,-75.1,Papa
6441,Viuda,-11.62,-75.13,Papa
6443,Muro Callhuaya,-11.67,-75.1,Papa
6444,Puca Illaycocha,-11.72,-75.08,Papa
6445,Colao,-11.72,-75.08,Papa
6446,Callanquina,-11.62,-75.13,Papa
6447,Vacapa Chaqui,-11.67,-75.1,Papa
6448,Curimarca,-11.72,-75.08,Papa
6449,Viuda,-11.72,-75.08,Papa
6450,Taragallo,-11.62,-75.13,Papa
6451,Callhuay,-11.72,-75.08,Papa
6452,Chicchipisin,-11.72,-75.08,Papa
6453,Liwlisha Pishum,-11.72,-75.08,Papa
6454,Curimarca,-11.62,-75.13,Papa
6455,Viuda,-11.67,-75.1,Papa
6456,Jalla Huachuco,-11.68,-75.1,Papa
6457,Shactamata,-11.62,-75.13,Papa
6458,Amarilla Tarme±a,-6.53,-78.58,Papa
6459,Amarilla Tumba China,-6.53,-78.58,Papa
6460,La Blanca,-6.45,-78.52,Papa
6461,Canastera,-6.53,-78.58,Papa
6462,Capulina,-6.45,-78.52,Papa
6463,Carnera Colorada,-6.45,-78.52,Papa
6465,Curado Occe,-6.53,-78.58,Papa
6466,Curado Rastrero,-6.53,-78.58,Papa
6467,Canastera,-6.45,-78.52,Papa
6469,Chilopera Palta,-6.45,-78.52,Papa
6470,Chiquibonita,-6.53,-78.58,Papa
6471,Chocolatera,-6.45,-78.52,Papa
6472,Chumalla,-6.53,-78.58,Papa
6474,Guaila,-6.45,-78.52,Papa
6476,Huagalina Palta,-6.53,-78.58,Papa
6477,Huarena,-6.53,-78.58,Papa
6478,Hallada,-6.53,-78.58,Papa
6481,Lime±a Negra,-6.45,-78.52,Papa
6482,Montanera,-6.45,-78.52,Papa
6483,Morada Tarme±a,-6.53,-78.58,Papa
6484,Ollega,-6.45,-78.52,Papa
6487,Poropora,-6.45,-78.52,Papa
6488,Rana,-6.45,-78.52,Papa
6489,Rana Pintada,-6.45,-78.52,Papa
6490,Reyna,-6.45,-78.52,Papa
6492,Rucri,-6.53,-78.58,Papa
6493,Sapa Negra,-6.45,-78.52,Papa
6494,Sapa,-6.45,-78.52,Papa
6496,Sapa Negra,-6.45,-78.52,Papa
6497,Sipena,-6.53,-78.58,Papa
6499,Wasi Wasi,-6.53,-78.58,Papa
6500,Yuquilla,-6.45,-78.52,Papa
6501,Zuela Blanca,-6.53,-78.58,Papa
6502,Zuela Colorada,-6.53,-78.58,Papa
6503,Zuela Colorada,-6.45,-78.52,Papa
6504,Avellana,-7.08,-78.35,Papa
6505,Conda Negra,-7.08,-78.35,Papa
6506,Choga Negra,-7.08,-78.35,Papa
6507,Chiquibonita,-7.08,-78.35,Papa
6508,Llanqueja,-7.08,-78.35,Papa
6509,Pimpina,-7.08,-78.35,Papa
6510,Pierna de Viuda,-7.08,-78.35,Papa
6511,Venada,-7.08,-78.35,Papa
6512,Yuquilla Blanca,-7.08,-78.35,Papa
6514,Bella,-6.53,-78.58,Papa
6517,Resco,-14.3,-72.13,Papa
6518,Kapaquina,-14.28,-72.03,Papa
6519,Socco Machu,-14.28,-72.03,Papa
6520,Layccosa,-14.28,-72.03,Papa
6521,Jururo Pajlla,-14.28,-72.03,Papa
