NOMBDEP,NOMBPROV,NOMBDIST,INVIERNO,MAYO,AGOSTO,OCTUBRE,MARZO,DICIEMBRE,ENERO,SETIEMBRE,VERANO,JUNIO,NOVIEMBRE,ABRIL,FEBRERO,ANUAL,JULIO,PRIMAVERA,OTOÑO
AMAZONAS,LUYA,CONILA,20.615696931386914,20.80530533786472,20.59135678877108,21.519733427034378,19.891099031895454,21.126998801084852,20.334239526017907,20.93990851877582,19.997313578426027,20.579665665541793,21.729289540525507,20.55793662020801,19.815725404908857,20.70025901926797,20.289979857249513,21.446214355599988,20.65466182333204
AMAZONAS,LUYA,INGUILPATA,20.650645192213982,20.539874366910716,20.702998296583257,21.314758562861392,19.630978169824125,20.72383484706194,19.94861812824915,20.932092240904055,19.692119644386445,20.410544553785464,21.45333762665985,20.087814445185305,19.50010256319067,20.472878292562235,20.247856943230616,21.165855080195072,20.337118731660386
AMAZONAS,LUYA,LAMUD,22.509098928055224,21.903601280161418,22.652477185737965,23.216854680193517,20.995263891265072,22.28890796456809,21.604138706168186,22.9246658006819,21.233945167118257,21.88133264750392,23.19332362651053,21.52382094460266,21.15342356995863,22.04585069364995,21.939639851625113,22.95148983527505,21.833395927031944
AMAZONAS,LUYA,LONGUITA,18.89424931097021,18.844823477823237,18.96040772076245,19.4740565635972,17.57077549416785,18.77850409213308,17.969842937731478,19.064050987036296,17.67567799777009,18.858755306122255,19.61656102864485,18.146552317588213,17.496007656126775,18.597441411523,18.67823529571924,19.310508737321868,18.59959454977411
AMAZONAS,LUYA,LONYA CHICO,21.474340035674743,21.094002485073435,21.581433297449347,22.08922651203143,20.186168651316528,21.23562677705144,20.54388092768369,21.88753872910446,20.306769021322527,21.060486608324037,22.017712088887013,20.64446043106586,20.160262094402228,21.090433600348216,21.024803613739536,21.740515920148006,20.96415752832932
AMAZONAS,LUYA,LUYA,22.135371861394702,21.49268722566701,22.2727725771092,22.601717878252767,20.4879889712947,21.82658652270028,21.029120668557464,22.525452405293457,20.681371270417962,21.490645646620575,22.61615115536684,21.01832550274926,20.575771603632617,21.658548183794636,21.595531092582146,22.356150926328056,21.361728340582864
AMAZONAS,LUYA,LUYA VIEJO,21.09453756352713,21.145112528921725,21.094625804818666,21.948117828935345,20.32738390959481,21.469120366082063,20.89599672046824,21.317702346893572,20.486571541972893,20.96920721994394,22.210826712434216,21.019987739998605,20.244263640936683,21.181720829896516,20.86443604117071,21.827809960472713,21.060372731149748
AMAZONAS,LUYA,MARIA,18.764865780614468,18.832950372276887,18.799325559160877,19.458696212757015,17.622974416937744,18.8110559091243,18.01702482083557,18.95587806928438,17.718606873355434,18.80430972670608,19.65528847584046,18.167940928055014,17.533797824769234,18.626593207485122,18.57798526040456,19.28939242281284,18.62976994309005
AMAZONAS,LUYA,OCALLI,22.196120270503133,22.458723034660103,22.18592414659127,23.184276069807233,22.11363340338242,23.004395808613026,22.416948237753736,22.62540243335204,22.167026670186683,22.059136799959347,23.47275743953681,22.42062269300526,22.000529484446005,22.479065665059156,21.792156015834376,23.215422299419092,22.312510867483354
AMAZONAS,LUYA,OCUMAL,22.398885693393538,22.479327714064848,22.453546874786806,23.11077987841317,22.10883603735318,22.838825987675143,22.3717125395226,22.78674302709788,22.160057878578034,22.135679838419126,23.25495504488861,22.369331028116196,22.007987874729633,22.5001857759066,21.944500958883125,23.070119729380373,22.3285918249309
AMAZONAS,LUYA,PISUQUIA,21.569934722833974,21.511660334859826,21.645373401863587,22.121065988461005,20.75908013922391,21.637969339444634,21.0781607246839,21.880030685450198,20.870480896916103,21.33089125803354,22.208510137272093,21.10359234681942,20.77124738525467,21.439973549741865,21.1875542057786,21.996111284665044,21.326874782982276
