NOMBDEP,NOMBPROV,NOMBDIST,OTOÑO,MARZO,PRIMAVERA,JUNIO,NOVIEMBRE,INVIERNO,ABRIL,JULIO,AGOSTO,VERANO,FEBRERO,SETIEMBRE,ENERO,MAYO,ANUAL,DICIEMBRE,OCTUBRE
AREQUIPA,AREQUIPA,SOCABAYA,2.5,14.20205397843977,2.5,2.5,2.5,2.5,2.5,2.5,2.5,65.0,34.45502676792462,2.5,33.159100935270274,2.5,65.21797139112634,2.5,2.5
AREQUIPA,AREQUIPA,TIABAYA,2.5000000000000004,12.598001086683242,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,2.5000000000000004,69.9842850783305,35.91258347524399,2.5,26.57928867092266,2.5,73.86779055824081,2.5000000000000004,2.5000000000000004
AREQUIPA,AREQUIPA,UCHUMAYO,2.5,8.563405376307356,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,36.433745153439084,16.004224035838835,2.5,10.453394463335856,2.5,39.465681393055526,2.5,2.5
AREQUIPA,AREQUIPA,VITOR,2.5,3.1325812973333425,2.5232661714745714,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,10.80065857806097,3.6328384642106317,2.5,3.5537577708734744,2.5,14.98824107018409,2.5,2.5
AREQUIPA,AREQUIPA,YANAHUARA,2.5,17.44492680835373,2.5,2.5,2.5,2.5,2.5,2.5,2.5,102.05883041514818,58.92836514161536,2.5,35.0,2.4999999999999996,103.6747929753327,2.5,2.5
AREQUIPA,AREQUIPA,YARABAMBA,2.5,9.124126806482945,2.5837857723629343,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,34.774494252509044,12.939856873768212,2.5,12.007007218721256,2.5,39.58676650843645,2.5,2.4999999999999996
AREQUIPA,AREQUIPA,YURA,9.619927580225516,38.90760296284217,20.616117314187846,2.5,4.516034410291167,5.776265353769288,6.799948536810515,2.7821033054655597,2.5564753666502433,151.28075800903818,66.89682096743813,2.8019012679700253,46.764076006126984,2.5,184.3402082674678,16.093467195717583,2.6756297597921845
AREQUIPA,CAMANA,CAMANA,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4999999999999996,2.5000000000000004,2.5,3.60270770909523,2.5,2.4999999999999996
AREQUIPA,CAMANA,JOSE MARIA QUIMPER,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.81211440628208,2.5,2.5,2.5,2.5,3.8126413484953567,2.5,2.5
AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,2.5,2.5,2.5154557887544606,2.5000000000000004,2.5,2.529541941150881,2.5,2.5,2.5,5.864978410317374,2.5,2.5,2.5,2.5,9.874767057375704,2.5,2.5
AREQUIPA,CAMANA,MARISCAL CACERES,2.5,2.5,2.4999999999999996,2.5,2.5,2.4999999999999996,2.5,2.5000000000000004,2.5,2.5311101968271066,2.5,2.5,2.5,2.5,4.419585993769318,2.5,2.5000000000000004
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,2.544509344476566,2.4999999999999996,2.5,2.5000000000000004,2.5,2.590423752859018,2.5,2.5,2.5,3.4977897650551886,2.4999999999999996,2.499999999999999,2.4999999999999996,2.5,6.171385810186369,2.4999999999999996,2.5
AREQUIPA,CAMANA,OCOÑA,2.5,2.5000000000000004,2.4999999999999996,2.5000000000000004,2.5,2.541537751641428,2.4999999999999996,2.5000000000000004,2.5,4.3712767111748745,2.5000000000000004,2.4999999999999996,2.5000000000000004,2.5,7.588494330767482,2.4999999999999996,2.5000000000000004
AREQUIPA,CAMANA,QUILCA,2.507923602906995,2.5,2.5000000000000004,2.5,2.5,2.5062409042644203,2.5,2.5,2.5,3.2756276333387615,2.5,2.5,2.5,2.5,4.164435805422576,2.5,2.5
AREQUIPA,CAMANA,SAMUEL PASTOR,2.5,2.5,2.4999999999999996,2.5,2.5,2.5,2.5,2.5,2.5,4.627886781395569,2.4999999999999996,2.5,2.5689618842259474,2.5,6.093292648988955,2.5,2.5
AREQUIPA,CARAVELI,ACARI,2.6301146588505238,3.337623693045521,2.5,2.5,2.5,3.807472373406084,2.5,2.5,2.5,18.457475361304454,5.847839194443503,2.5,6.590061594338478,2.5,25.478120564638203,2.5,2.5
AREQUIPA,CARAVELI,ATICO,2.5,2.5000000000000004,2.509763244021958,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,6.521793340533069,2.5,2.5,2.547747870441534,2.5,8.552313350578396,2.5,2.5
AREQUIPA,CARAVELI,ATIQUIPA,3.3121280472831827,4.491771753101675,3.931208345564242,2.5,2.5,10.73225245785664,2.5519110064406902,3.785148730736783,3.376956876465354,21.055620708653144,6.894969633717891,4.3478745710083615,11.429844498550356,2.5,38.01469438520249,2.77122504991518,2.5000000000000004
AREQUIPA,CARAVELI,BELLA UNION,2.76443048233254,2.5,2.5,2.5,2.4999999999999996,2.702253497145279,2.4999999999999996,2.5,2.5,9.066269652073105,3.261261982824065,2.5,3.848521117727993,2.5000000000000004,14.945084803170364,2.5000000000000004,2.5
AREQUIPA,CARAVELI,CAHUACHO,2.9133607950679683,8.988465774701504,3.5999720838933027,2.5,2.5,2.5,2.550142422680873,2.5,2.5,31.9476185902757,10.646884630921317,2.5,11.097052715255934,2.5,37.752878575203574,3.0063007839735665,2.4999999999999996
AREQUIPA,CARAVELI,CARAVELI,2.5,3.597206118484603,2.5098998371711594,2.5,2.5,2.5,2.5,2.4999999999999996,2.5,11.116554441835527,3.381399018348067,2.5,3.511558627402,2.5,14.892892265252128,2.5,2.5
AREQUIPA,CARAVELI,CHALA,2.787525381454733,2.505285398141181,3.055543330530035,2.5,2.5000000000000004,3.247736234076927,2.5,2.5,2.5,11.723780961445398,2.7925563439163,2.876825663067125,6.126422549627493,2.500440026834753,19.676332804531505,2.5903997744727234,2.5
AREQUIPA,CARAVELI,CHAPARRA,2.5,2.8073317475506308,2.568123161592545,2.5,2.5,2.5,2.5,2.5,2.5000000000000004,9.811898625669896,3.459708853453839,2.5,3.650224804026852,2.4999999999999996,13.227228216100679,2.5,2.5
AREQUIPA,CARAVELI,HUANUHUANU,4.847885043739564,14.00612257809894,5.505201078525855,2.5,2.4999999999999996,4.080165891593628,3.509866842442597,2.5,2.5,57.40128534050037,22.87627910720274,2.9874174842074543,22.81050397236055,2.5,69.22917573399603,4.0480252891726405,2.5
